名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
柳 詩織,やなぎ しおり,yanagi_shiori@example.com,女,29,1989/3/6,既婚,A型,東京都,074-401-5446,080-6526-8776,ドコモ,左ルー・ナン派
横山 正義,よこやま まさよし,yokoyama_masayoshi@example.com,男,31,1987/4/4,既婚,B型,岩手県,0 3-825-8380,090-8257-6431,ドコモ,手前ルー・混ぜ混ぜ派
坂上 慎之介,さかがみ しんのすけ,sakagami_shinnosuke@example.com,男,33,1985/7/13,既婚,O型,熊本県,099-785-7406,090-3976-9000,ドコモ,ぶっかけ・せき止め派
小野田 悟志,おのだ さとし,onoda_satoshi@example.com,男,72,1946/1/20,既婚,O型,山形県,095-702-8217,080-1047- 953,au,手前ルー・混ぜ混ぜ派
米谷 晴臣,よねや はるおみ,yoneya_haruomi@example.com,男,62,1955/11/16,既婚,A型,神奈川県,011-647-9699,080-1985-6456,au,右ルー・ルー攻め派
福島 千夏,ふくしま ちなつ,fukushima_chinatsu@example.com,女,64,1953/12/26,既婚,B型,大阪府,053-545-7419,090-2941-3674,ドコモ,右ルー・別口派
手島 サンタマリア,てじま さんたまりあ,tejima_stmaria@example.com,男,26,1992/7/22,未婚,A型,福岡県,035-468-6626,090- 934-6381,ドコモ,手前ルー・ナン派
内田 真吾,うちだ しんご,uchida_shingo@example.com,男,31,1987/3/8,既婚,A型,埼玉県,085-410-5468,080-1960-9626,ソフトバンク,奥ルー・せき止め派
片瀬 由宇,かたせ ゆう,katase_yuu@example.com,女,77,1941/9/7,既婚,O型,福岡県,055-627-6101,090-1417- 463,ドコモ,左ルー・別口派
大泉 たかお,おおいずみ たかお,ooizumi_takao@example.com,男,38,1980/1/16,既婚,B型,愛知県,071-224-5791,090- 128-7549,ドコモ,右ルー・せき止め派
落合 晴臣,おちあい はるおみ,ochiai_haruomi@example.com,男,35,1983/1/7,既婚,B型,岡山県,047-802-7455,080-5531-3662,ドコモ,右ルー・混ぜ混ぜ派
吉原 あき,よしわら あき,yoshiwara_aki@example.com,女,24,1994/1/29,既婚,O型,神奈川県,056-217-7788,090-4958-4543,ドコモ,手前ルー・ルー攻め派
堀江 涼,ほりえ りょう,horie_ryou@example.com,女,37,1981/1/13,未婚,A型,滋賀県,065-362-4008,080-5029- 222,ドコモ,奥ルー・ルー攻め派
木内 瑠璃亜,きうち るりあ,kiuchi_ruria@example.com,女,24,1994/2/21,未婚,B型,鹿児島県,051-763-1425,090-3109-6566,ドコモ,左ルー・ルー攻め派
中村 まさみ,なかむら まさみ,nakamura_masami@example.com,女,32,1986/2/19,既婚,A型,神奈川県,078-718-4061,090-8327-4444,au,左ルー・せき止め派
太田 華子,おおた はなこ,oota_hanako@example.com,女,63,1955/8/26,既婚,O型,兵庫県,074-667-2476,080-1145-3037,ドコモ,右ルー・せき止め派
村瀬 ヒロ,むらせ ひろ,murase_hiro@example.com,男,46,1971/11/25,既婚,A型,徳島県,022- 63- 466,090-2766-7371,ドコモ,ぶっかけ・ルー攻め派
甲斐 倫子,かい のりこ,kai_noriko@example.com,女,65,1952/12/1,既婚,A型,大阪府,078-541-6055,090-8647-9481,ドコモ,手前ルー・ルー攻め派
長崎 三省,ながさき さんせい,nagasaki_sansei@example.com,男,63,1955/2/3,既婚,O型,神奈川県,077- 89-5462,090-4850-3428,au,右ルー・ルー攻め派
栗田 崇史,くりた たかし,kurita_takashi@example.com,男,26,1991/12/13,既婚,A型,宮城県,064-516-7963,090- 846-8936,ソフトバンク,左ルー・別口派
水野 直人,みずの なおと,mizuno_naoto@example.com,男,48,1970/3/17,既婚,B型,神奈川県,043-405-2399,080-2778-9624,au,左ルー・混ぜ混ぜ派
畑中 麻緒,はたなか まお,hatanaka_mao@example.com,女,45,1973/10/11,既婚,B型,東京都,034-844-1261,080-2535-7016,ソフトバンク,左ルー・ルー攻め派
古賀 薫,こが かおる,koga_kaoru@example.com,女,52,1966/1/16,既婚,O型,神奈川県,047-247-5820,090-4008-9761,au,左ルー・混ぜ混ぜ派
富永 一哉,とみなが かずや,tominaga_kazuya@example.com,男,28,1990/1/5,既婚,O型,千葉県,046- 69-1950,090-4866-3781,ソフトバンク,手前ルー・ルー攻め派
佐々木 真悠子,ささき まゆこ,sasaki_mayuko@example.com,女,42,1975/12/25,既婚,B型,大分県,072-173-4457,080-1871-4393,au,手前ルー・ルー攻め派
中村 未來,なかむら みらい,nakamura_mirai@example.com,男,33,1985/8/28,既婚,AB型,兵庫県,038-968- 228,090-5017-6463,ソフトバンク,左ルー・せき止め派
清田 有海,きよた あみ,kiyota_ami@example.com,女,21,1997/4/30,既婚,A型,神奈川県,065-992-6430,090- 292-8215,ドコモ,左ルー・せき止め派
森田 扶樹,もりた もとき,morita_motoki@example.com,男,57,1961/4/29,既婚,A型,宮城県,097-884-3516,080-5978- 556,ドコモ,ぶっかけ・せき止め派
秋元 徹,あきもと とおる,akimoto_tohru@example.com,男,31,1987/6/6,既婚,O型,大阪府,071-764-6051,090-7561- 685,ドコモ,手前ルー・ルー攻め派
高木 一恵,たかぎ かづえ,takagi_kadue@example.com,女,74,1944/4/13,既婚,B型,東京都,018-453-2189,090-4287-7208,au,ぶっかけ・混ぜ混ぜ派
志水 菜々美,しみず ななみ,shimizu_nanami@example.com,女,46,1972/4/14,既婚,B型,島根県,069-967-6907,090-6490-1419,ソフトバンク,手前ルー・せき止め派
高田 高史,たかだ たかし,takada_takashi@example.com,男,64,1953/11/26,既婚,B型,鹿児島県,083-836-6161,080-7129-3693,ドコモ,奥ルー・混ぜ混ぜ派
野本 恵梨香,のもと えりか,nomoto_erika@example.com,女,44,1974/4/6,既婚,A型,大阪府,055-732- 938,090-7839-4866,au,左ルー・ルー攻め派
小沢 美佐,おざわ みさ,ozawa_misa@example.com,女,75,1943/2/27,既婚,A型,静岡県,057-693-1480,080-1094-8062,au,右ルー・混ぜ混ぜ派
余 和久,よ かずひさ,yo_kazuhisa@example.com,男,62,1956/4/11,既婚,A型,茨城県,083-450-7930,080-4325-4725,au,左ルー・ルー攻め派
平岡 晋也,ひらおか しんや,hiraoka_shinya@example.com,男,77,1941/8/19,既婚,AB型,島根県,036-262-7542,090-3332-7310,ドコモ,ぶっかけ・ルー攻め派
小松 拓郎,こまつ たくろう,komatsu_takurou@example.com,男,22,1996/9/28,未婚,O型,沖縄県,078-140-5572,090-5932-9911,ドコモ,左ルー・せき止め派
平良 良介,ひらら りょうすけ,hirara_ryousuke@example.com,男,65,1953/6/27,既婚,A型,岡山県,081-914- 183,090-7529- 868,au,ぶっかけ・ルー攻め派
上野 あさみ,うえの あさみ,ueno_asami@example.com,女,72,1946/2/1,既婚,O型,京都府,016-741- 580,080-1127-2547,au,左ルー・せき止め派
長井 達士,ながい たつひと,nagai_tatsuhito@example.com,男,75,1943/5/25,既婚,A型,大阪府,084- 69-9852,080-2185-1728,ドコモ,左ルー・ルー攻め派
井川 長利,いがわ ながとし,igawa_nagatoshi@example.com,男,25,1993/5/28,既婚,A型,兵庫県,013-458-1835,090-1981-8512,au,左ルー・せき止め派
小室 那奈,こむろ なな,komuro_nana@example.com,女,57,1961/3/24,既婚,B型,福島県,097-569-2607,090-1300-4548,ドコモ,左ルー・せき止め派
阿部 理紗,あべ りさ,abe_risa@example.com,女,70,1948/3/7,既婚,B型,東京都,041-309-7916,090-7619-3010,au,ぶっかけ・せき止め派
村松 英嗣,むらまつ ひでつぐ,muramatsu_hidetsugu@example.com,男,51,1966/11/26,既婚,B型,北海道,098-687-1589,080-3472-9726,ドコモ,左ルー・せき止め派
永瀬 涼子,ながせ りょうこ,nagase_ryouko@example.com,女,57,1961/4/29,既婚,AB型,大分県,052-578-2829,090- 532-4850,au,ぶっかけ・ルー攻め派
飯野 知史,いいの ともふみ,iino_tomofumi@example.com,男,72,1946/8/7,既婚,O型,富山県,034-436-7679,090-3244-1376,ドコモ,左ルー・ナン派
高田 美佐子,たかだ みさこ,takada_misako@example.com,女,66,1952/3/22,既婚,A型,和歌山県,071-145-3119,080-7404-6457,ドコモ,ぶっかけ・せき止め派
菅 信吾,すが しんご,suga_shingo@example.com,男,74,1944/5/30,既婚,O型,大阪府,028-209-3072,080-9367-4535,ソフトバンク,ぶっかけ・別口派
岩間 知世,いわま ちせ,iwama_chise@example.com,女,62,1956/4/4,既婚,A型,愛知県,044-944- 970,080-3666-4117,au,ぶっかけ・せき止め派
伊藤 恭子,いとう きょうこ,itou_kyouko@example.com,女,69,1949/8/2,既婚,A型,北海道,066-431-6039,090-9921-3584,ドコモ,奥ルー・混ぜ混ぜ派
内野 栄一,うちの えいいち,uchino_eiichi@example.com,男,23,1995/9/27,未婚,B型,奈良県,016-543-8105,080-4223-3725,ソフトバンク,ぶっかけ・混ぜ混ぜ派
栗田 友也,くりた ともや,kurita_tomoya@example.com,男,70,1947/12/11,既婚,AB型,愛知県,071-869- 199,090-2511-2540,ドコモ,左ルー・混ぜ混ぜ派
瀬戸内 めぐみ,せとうち めぐみ,setouchi_megumi@example.com,女,45,1973/7/14,既婚,O型,長野県,0 1-896-8167,080-1196-1687,au,右ルー・ルー攻め派
細谷 慶二,ほそや けいじ,hosoya_keiji@example.com,男,66,1952/5/9,既婚,A型,大阪府,0 3-833-7417,090-6415-5396,ドコモ,ぶっかけ・ルー攻め派
黒崎 サンタマリア,くろさき さんたまりあ,kurosaki_stmaria@example.com,男,28,1990/10/25,既婚,A型,茨城県,046-192-4896,090-1176-6069,ソフトバンク,左ルー・混ぜ混ぜ派
大石 精児,おおいし せいじ,ooishi_seiji@example.com,男,75,1943/4/13,既婚,A型,愛知県,023-454-1496,080-1744-3570,au,ぶっかけ・混ぜ混ぜ派
荒木 美紀,あらき みき,araki_miki@example.com,女,57,1961/8/2,既婚,O型,新潟県,033-997-2416,090-5971-7872,ドコモ,左ルー・ルー攻め派
木原 友也,きはら ともや,kihara_tomoya@example.com,男,55,1963/3/29,既婚,AB型,広島県,090-570-9303,080-3067-9502,ドコモ,左ルー・ルー攻め派
波多野 哲平,はたの てっぺい,hatano_teppei@example.com,男,65,1953/8/5,既婚,A型,千葉県,028-638-5030,080-3608- 274,au,ぶっかけ・せき止め派
真矢 晋也,まや しんや,maya_shinya@example.com,男,45,1972/11/9,既婚,AB型,東京都,020-498-4653,080-2651-9677,ドコモ,左ルー・混ぜ混ぜ派
城戸 誠治,きど せいじ,kido_seiji@example.com,男,27,1991/5/1,未婚,A型,秋田県,012- 74-1631,080-8586-9556,au,左ルー・せき止め派
新谷 宏,あらや ひろし,araya_hiroshi@example.com,男,74,1943/12/13,既婚,O型,兵庫県,057-425-4199,090-6801-9987,ドコモ,ぶっかけ・ルー攻め派
内田 信吾,うちだ しんご,uchida_shingo1@example.com,男,49,1969/3/6,既婚,A型,北海道,037-120-5475,080-7197-7803,au,ぶっかけ・ルー攻め派
釈 照生,しゃく てるお,shaku_teruo@example.com,男,71,1947/10/31,既婚,AB型,東京都,021-320-9948,080-8618- 794,au,別盛り・せき止め派
新垣 兼,あらがき けん,aragaki_ken@example.com,男,20,1998/1/7,未婚,AB型,福岡県,010- 73-8184,090-8809-6208,ドコモ,ぶっかけ・ナン派
中川 芳正,なかがわ よしまさ,nakagawa_yoshimasa@example.com,男,58,1960/4/27,未婚,A型,鹿児島県,012-867-2393,090-5626-7406,ドコモ,左ルー・せき止め派
伊丹 豊,いたみ ゆたか,itami_yutaka@example.com,男,59,1959/3/1,既婚,B型,大阪府,039-537-1494,080-7024-4989,ドコモ,左ルー・別口派
前島 慶二,まえじま けいじ,maejima_keiji@example.com,男,72,1945/12/4,既婚,B型,茨城県,058-493-8010,090-4852-9497,ソフトバンク,左ルー・せき止め派
大河内 由美子,おおこうち ゆみこ,ookouchi_yumiko@example.com,女,43,1975/2/15,既婚,O型,福岡県,055-861-9770,080-3163-6220,ドコモ,左ルー・せき止め派
影山 怜奈,かげやま れいな,kageyama_reina@example.com,女,47,1971/6/7,既婚,A型,愛知県,089-180-3663,080-8507-8592,ドコモ,左ルー・ルー攻め派
加藤 美幸,かとう みゆき,katou_miyuki@example.com,女,51,1967/8/21,既婚,B型,宮崎県,0 2- 63-1222,080-5324-4253,au,奥ルー・せき止め派
高樹 美希,たかぎ みき,takagi_miki@example.com,女,63,1955/7/25,既婚,O型,広島県,036-152-9256,080-3141-1588,ドコモ,奥ルー・ルー攻め派
塚原 雅之,つかはら まさゆき,tsukahara_masayuki@example.com,男,40,1978/1/9,既婚,O型,東京都,033-254-8360,080-9464-6461,ドコモ,右ルー・ルー攻め派
川原 そら,かわはら そら,kawahara_sora@example.com,女,24,1994/3/14,既婚,A型,北海道,053- 70-1064,090-1207- 725,ドコモ,右ルー・混ぜ混ぜ派
川原 建,かわはら けん,kawahara_ken@example.com,男,59,1959/4/11,既婚,B型,福岡県,056-117-4634,080-2572-2390,ドコモ,左ルー・せき止め派
井原 雅彦,いはら まさひこ,ihara_masahiko@example.com,男,23,1995/8/27,未婚,B型,秋田県,086-319-7424,080-5209-8903,ソフトバンク,ぶっかけ・混ぜ混ぜ派
高梨 早織,たかなし さおり,takanashi_saori@example.com,女,37,1981/8/14,既婚,O型,北海道,090-514-7744,090-9696-6288,au,ぶっかけ・ルー攻め派
佐久間 美嘉,さくま みか,sakuma_mika@example.com,女,24,1994/6/15,未婚,A型,千葉県,034- 16-5489,090-8220-9036,ドコモ,ぶっかけ・せき止め派
岩瀬 雅彦,いわせ まさひこ,iwase_masahiko@example.com,男,29,1989/8/9,未婚,O型,広島県,080- 66-2507,080-2142-7234,ドコモ,ぶっかけ・別口派
重松 さやか,しげまつ さやか,shigematsu_sayaka@example.com,女,62,1956/1/31,既婚,B型,青森県,044-848-2411,080-1752-2904,au,ぶっかけ・せき止め派
大島 一徳,おおしま いっとく,ooshima_ittoku@example.com,男,62,1956/5/21,既婚,O型,千葉県,087-109-6402,090-5403-9781,au,ぶっかけ・せき止め派
横山 勇太,よこやま ゆうた,yokoyama_yuuta@example.com,男,58,1960/10/26,既婚,B型,群馬県,033-715-1645,090-7201-2460,ドコモ,左ルー・せき止め派
青野 まひる,あおの まひる,aono_mahiru@example.com,女,73,1945/2/23,既婚,A型,埼玉県,019-149-3027,090-5677-5632,au,右ルー・混ぜ混ぜ派
芦田 正敏,あしだ まさとし,ashida_masatoshi@example.com,男,61,1957/6/6,既婚,A型,島根県,0 6-673- 158,080-7800-4450,au,ぶっかけ・混ぜ混ぜ派
秋本 直人,あきもと なおと,akimoto_naoto@example.com,男,63,1955/6/6,既婚,O型,奈良県,034-990-  40,090-2635-1249,au,ぶっかけ・ルー攻め派
青山 えみ,あおやま えみ,aoyama_emi@example.com,女,47,1970/11/24,既婚,A型,大阪府,076-617-5868,090-3206-4740,au,左ルー・せき止め派
相原 貴美子,あいはら きみこ,aihara_kimiko@example.com,女,68,1950/5/29,既婚,A型,群馬県,083-482-4020,080-8444-4053,ドコモ,ぶっかけ・ルー攻め派
少路 ケンイチ,しょうじ けんいち,shouji_kenichi@example.com,男,51,1967/2/9,未婚,A型,京都府,085-213-3527,090-1505-6862,ドコモ,ぶっかけ・混ぜ混ぜ派
吉本 玲那,よしもと れな,yoshimoto_rena@example.com,女,73,1945/9/23,既婚,B型,北海道,056-843-2277,090-2143-8308,au,奥ルー・せき止め派
少路 あさみ,しょうじ あさみ,shouji_asami@example.com,女,52,1966/3/11,既婚,A型,山形県,035-277-8681,090-7902-7343,ソフトバンク,左ルー・混ぜ混ぜ派
加藤 丈史,かとう たけし,katou_takeshi@example.com,男,32,1986/1/14,既婚,A型,福井県,075- 65-4367,080-9215-4287,ドコモ,左ルー・ルー攻め派
川畑 宏,かわはた ひろし,kawahata_hiroshi@example.com,男,61,1956/11/20,既婚,B型,大阪府,022-323-6710,080-6959-5940,ソフトバンク,奥ルー・混ぜ混ぜ派
益岡 花,ますおか はな,masuoka_hana@example.com,女,68,1950/4/11,既婚,A型,秋田県,042-860-1907,090- 687- 251,ドコモ,左ルー・せき止め派
山内 隼士,やまうち しゅんじ,yamauchi_shunji@example.com,男,54,1964/5/24,既婚,A型,群馬県,041- 49- 498,090-2934-8714,ソフトバンク,ぶっかけ・ルー攻め派
水上 進,みずかみ すすむ,mizukami_susumu@example.com,男,53,1964/11/4,既婚,O型,山口県,029-228-5934,090-2012-5248,ドコモ,左ルー・別口派
堤 璃子,つつみ りこ,tsutsumi_riko@example.com,女,75,1943/9/11,既婚,O型,愛知県,021-411-2094,090-4883-5013,ドコモ,ぶっかけ・せき止め派
木下 みゆき,きのした みゆき,kinoshita_miyuki@example.com,女,40,1978/10/21,既婚,A型,山形県,0 6-350-6335,090-9498-2852,au,右ルー・ルー攻め派
青木 怜奈,あおき れいな,aoki_reina@example.com,女,50,1968/7/10,未婚,B型,広島県,086-169-6405,080-5893-4404,ドコモ,別盛り・せき止め派
本間 倫子,ほんま のりこ,honnma_noriko@example.com,女,51,1967/2/13,既婚,B型,岐阜県,059-646-7124,080- 484-2795,ドコモ,奥ルー・せき止め派
荒川 花,あらかわ はな,arakawa_hana@example.com,女,21,1997/9/2,既婚,A型,千葉県,095-632-8039,090-1184-3166,au,右ルー・別口派
堀江 里奈,ほりえ りな,horie_rina@example.com,女,41,1977/5/11,既婚,A型,富山県,087-955-7780,080-9691-1784,ドコモ,左ルー・せき止め派
末永 扶樹,すえなが もとき,suenaga_motoki@example.com,男,40,1978/8/15,未婚,A型,石川県,054-948-4903,080-2554-8572,ソフトバンク,左ルー・せき止め派
島 菜摘,しま なつみ,shima_natsumi@example.com,女,56,1962/10/17,既婚,A型,東京都,0 7-736-5689,090-4405-1451,au,奥ルー・ルー攻め派
杉本 光,すぎもと ひかる,sugimoto_hikaru@example.com,男,77,1941/3/21,既婚,O型,北海道,099-685-5628,080-9204-6318,ソフトバンク,左ルー・せき止め派
河野 育二,かわの いくじ,kawano_ikuji@example.com,男,70,1948/1/5,既婚,B型,鳥取県,014-174-7387,090-3053-8037,au,ぶっかけ・別口派
千葉 拓郎,ちば たくろう,chiba_takurou@example.com,男,68,1950/10/6,既婚,O型,長野県,090-401-8883,090-5802-7026,ドコモ,左ルー・せき止め派
小泉 克実,こいずみ かつみ,koizumi_katsumi@example.com,男,50,1967/12/19,未婚,B型,愛知県,0 2-925-4276,080- 381-9079,ソフトバンク,ぶっかけ・せき止め派
大滝 晃司,おおたき こうじ,ootaki_kouji@example.com,男,39,1979/8/3,未婚,A型,大阪府,035-321-3999,080-9238-9440,ドコモ,奥ルー・別口派
柳 瞬,やなぎ しゅん,yanagi_shun@example.com,女,23,1995/1/31,未婚,A型,愛知県,079- 14-2428,090-1526-9192,ソフトバンク,左ルー・混ぜ混ぜ派
伊丹 結衣,いたみ ゆい,itami_yui@example.com,女,29,1989/1/28,未婚,B型,滋賀県,024- 62-3445,080-2349-9817,au,左ルー・ルー攻め派
岡田 美佳,おかだ みか,okada_mika@example.com,女,76,1942/9/1,既婚,A型,福岡県,083-725-  38,090- 139- 499,ドコモ,右ルー・せき止め派
影山 知世,かげやま ちせ,kageyama_chise@example.com,女,71,1946/11/24,既婚,O型,宮城県,0 4- 98-5988,090-9390-2519,ドコモ,ぶっかけ・混ぜ混ぜ派
川原 兼,かわはら けん,kawahara_ken1@example.com,男,47,1971/3/16,既婚,O型,埼玉県,027-885-9306,090-3914-9204,ドコモ,左ルー・せき止め派
長谷川 優,はせがわ ゆう,hasegawa_yuu@example.com,女,39,1979/2/4,既婚,B型,青森県,0 6-778-1505,090-4987- 463,ドコモ,ぶっかけ・せき止め派
三木 徹,みき とおる,miki_tooru@example.com,男,72,1946/4/7,既婚,A型,大阪府,025-229-4734,090-3705-2125,ソフトバンク,ぶっかけ・せき止め派
亀井 奈央,かめい なお,kamei_nao@example.com,女,56,1962/7/16,既婚,B型,神奈川県,049-362-6779,080-6395-6325,ドコモ,右ルー・混ぜ混ぜ派
瀬戸内 憲一,せとうち けんいち,setouchi_kenichi@example.com,男,65,1953/8/27,既婚,A型,大阪府,053-633-5332,090-3177-7314,ドコモ,奥ルー・せき止め派
湯浅 たかお,ゆあさ たかお,yuasa_takao@example.com,男,25,1993/4/8,未婚,O型,北海道,025-455-2041,090-4769-3937,au,左ルー・ルー攻め派
岩瀬 里奈,いわせ りな,iwase_rina@example.com,女,62,1955/11/6,既婚,AB型,千葉県,033- 84-4639,080-6526-3516,ソフトバンク,奥ルー・せき止め派
永島 千佳子,ながしま ちかこ,nagashima_chikako@example.com,女,20,1998/5/10,未婚,O型,東京都,065-381-8327,080-8485-8033,ドコモ,左ルー・混ぜ混ぜ派
田辺 えみ,たなべ えみ,tanabe_emi@example.com,女,69,1949/4/5,既婚,O型,宮城県,092- 76-1684,080-8902-9236,ソフトバンク,左ルー・せき止め派
近藤 碧海,こんどう おうが,kondou_ouga@example.com,男,72,1946/8/3,既婚,O型,神奈川県,013-763-8435,090-2673-5021,ドコモ,ぶっかけ・ルー攻め派
細川 夏空,ほそかわ そら,hosokawa_sora@example.com,女,65,1953/5/21,既婚,A型,京都府,0 2-250-8403,090-8317-5619,ソフトバンク,左ルー・ルー攻め派
吉川 芳正,よしかわ よしまさ,yoshikawa_yoshimasa@example.com,男,21,1996/11/7,既婚,AB型,佐賀県,033-451-6412,090-5208-2616,ソフトバンク,左ルー・ルー攻め派
佐久間 涼子,さくま りょうこ,sakuma_ryouko@example.com,女,67,1951/4/7,既婚,AB型,愛知県,086-421-8885,080-4324-3422,au,ぶっかけ・せき止め派
今泉 千佳子,いまいずみ ちかこ,imaizumi_chikako@example.com,女,62,1956/6/4,既婚,A型,茨城県,054-780-2304,090-9665-7485,au,右ルー・せき止め派
北沢 幸平,きたざわ こうへい,kitazawa_kouhei@example.com,男,75,1942/12/10,既婚,A型,沖縄県,072-235-3982,090-2710- 234,ドコモ,奥ルー・ナン派
大谷 雄太,おおたに ゆうた,ootani_yuuta@example.com,男,80,1938/9/1,既婚,A型,大阪府,076- 65-6949,090-  79-7746,ソフトバンク,左ルー・ナン派
笠井 麗奈,かさい れな,kasai_rena@example.com,女,77,1940/12/30,既婚,AB型,岡山県,086- 39-1535,080-5202-3916,ドコモ,左ルー・別口派
小畑 慎之介,おばた しんのすけ,obata_shinnosuke@example.com,男,34,1984/5/20,既婚,AB型,愛知県,065-314-6616,080-2663-6624,au,左ルー・せき止め派
満島 雅之,みつしま まさゆき,mitsushima_masayuki@example.com,男,68,1950/8/11,既婚,O型,岡山県,085-468-3928,090-5067-2171,ドコモ,右ルー・せき止め派
羽田 育子,はた いくこ,hata_ikuko@example.com,女,46,1972/10/26,既婚,B型,神奈川県,033-425-5210,090- 735-6992,au,左ルー・混ぜ混ぜ派
仲村 薫,なかむら かおる,nakamura_kaoru@example.com,男,56,1962/6/8,既婚,A型,愛知県,012-583-6428,090-3854-3133,ドコモ,左ルー・ルー攻め派
石垣 璃子,いしがき りこ,ishigaki_riko@example.com,女,59,1959/3/10,既婚,A型,群馬県,0 7-591-6601,090-8964-8244,ドコモ,右ルー・混ぜ混ぜ派
本村 真希,ほんむら まき,honnmura_maki@example.com,女,67,1951/1/5,既婚,A型,静岡県,038-353-7712,090-6984-9546,ドコモ,右ルー・せき止め派
宮坂 三郎,みやさか さぶろう,miyasaka_saburou@example.com,男,34,1983/12/15,既婚,O型,福岡県,078-974-9187,090- 596-5179,ドコモ,ぶっかけ・せき止め派
内村 かおり,うちむら かおり,uchimura_kaori@example.com,女,26,1991/12/15,未婚,B型,北海道,010-148-4866,080-8214-1417,ドコモ,左ルー・せき止め派
森岡 将也,もりおか まさや,morioka_masaya@example.com,男,49,1969/7/18,既婚,B型,石川県,014-238-6967,080-4859-5307,au,左ルー・混ぜ混ぜ派
小泉 たまき,こいずみ たまき,koizumi_tamaki@example.com,女,28,1989/12/13,既婚,B型,東京都,037- 71-4172,090-9835-9070,ドコモ,別盛り・混ぜ混ぜ派
井上 賢治,いのうえ けんじ,inoue_kenji@example.com,男,64,1954/3/28,既婚,A型,静岡県,064-118-4366,080-4709-8045,ドコモ,ぶっかけ・ルー攻め派
沢田 ヒロ,さわだ ひろ,sawada_hiro@example.com,男,64,1953/11/3,既婚,O型,東京都,026- 95-6805,090-5556- 986,ドコモ,右ルー・ルー攻め派
脇田 礼子,わきた れいこ,wakita_reiko@example.com,女,63,1955/5/31,既婚,A型,千葉県,027-839-4335,090-4163-4806,ドコモ,別盛り・せき止め派
益田 直人,ますだ なおと,masuda_naoto@example.com,男,78,1940/8/18,既婚,A型,東京都,094-690- 520,090-2351-1007,ドコモ,ぶっかけ・混ぜ混ぜ派
滝 賢二,たき けんじ,taki_kenji@example.com,男,75,1943/5/9,既婚,A型,北海道,0 3-827-6805,080-7241-5357,ドコモ,左ルー・混ぜ混ぜ派
満島 宏行,みつしま ひろゆき,mitsushima_hiroyuki@example.com,男,26,1992/6/1,既婚,B型,岩手県,037-153-9048,080-8827-5100,ドコモ,ぶっかけ・ナン派
井田 璃子,いだ りこ,ida_riko@example.com,女,56,1962/5/31,既婚,O型,佐賀県,098-902-7537,090-7512-6360,ドコモ,左ルー・せき止め派
ユースケ 杏,ゆーすけ あん,yusuke_ann@example.com,女,77,1941/9/29,既婚,A型,愛知県,030-718-3168,080-3821-2051,ソフトバンク,手前ルー・混ぜ混ぜ派
福岡 なつみ,ふくおか なつみ,fukuoka_natsumi@example.com,女,50,1968/9/4,既婚,B型,茨城県,068-604-8915,090-6796-7368,ドコモ,奥ルー・せき止め派
本間 真奈美,ほんま まなみ,honma_manami@example.com,女,55,1963/5/19,既婚,B型,大阪府,012-222-8192,080- 921-5964,au,ぶっかけ・ナン派
八木 あい,やぎ あい,yagi_ai@example.com,女,55,1962/11/13,既婚,A型,熊本県,079-335-9662,080-3743-6490,ドコモ,左ルー・せき止め派
若林 和之,わかばやし かずゆき,wakabayashi_kazuyuki@example.com,男,29,1989/2/8,未婚,O型,静岡県,010- 73-1689,080-1457-6782,ドコモ,奥ルー・混ぜ混ぜ派
江崎 涼,えざき りょう,ezaki_ryou@example.com,女,32,1986/7/14,未婚,A型,茨城県,066-170-4431,090-9352-1431,au,ぶっかけ・せき止め派
中島 充則,なかじま みつのり,nakajima_mitsunori@example.com,男,79,1939/4/1,既婚,A型,東京都,018-885-9345,090-6687-8921,au,奥ルー・ルー攻め派
沢 真悠子,さわ まゆこ,sawa_mayuko@example.com,女,57,1961/4/3,既婚,B型,兵庫県,068-437-1532,080-5377-8287,au,ぶっかけ・せき止め派
伊集院 未來,いじゅういん みらい,ijuuin_mirai@example.com,男,76,1942/5/24,既婚,A型,千葉県,037-157-9932,080-8312-8144,ドコモ,左ルー・別口派
久保田 希,くぼた のぞみ,kubota_nozomi@example.com,女,57,1961/3/22,既婚,A型,福岡県,040-476-6740,080-3776-1299,ドコモ,ぶっかけ・せき止め派
貫地谷 瞳,かんじや ひとみ,kanjiya_hitomi@example.com,女,70,1948/8/12,既婚,AB型,東京都,0 7-436-5264,090-2448-4421,au,右ルー・混ぜ混ぜ派
浅見 瞳,あさみ ひとみ,asami_hitomi@example.com,女,31,1987/6/19,未婚,A型,千葉県,075-168-9814,080-2907-1334,ドコモ,手前ルー・混ぜ混ぜ派
桜田 光,さくらだ ひかる,sakurada_hikaru@example.com,男,31,1986/12/5,未婚,O型,兵庫県,066-344-7105,080-3535-1416,ソフトバンク,左ルー・ルー攻め派
中島 三郎,なかしま さぶろう,nakashima_saburou@example.com,男,38,1980/8/20,既婚,A型,神奈川県,014- 52-6024,080-6869-1602,ドコモ,左ルー・混ぜ混ぜ派
小沢 かおり,おざわ かおり,ozawa_kaori@example.com,女,31,1987/10/20,既婚,A型,広島県,095-353-5725,090-9155-1422,ドコモ,ぶっかけ・ナン派
